document_id,process_id,title,folder,agency,action_type,state,register_date,total_count
17346,8000040,Bering Sea-Western Interior Proposed Resource Management Plan and Final Environmental Impact Statement,EisDocuments-315824,Bureau of Land Management,Land Management Plan,AK,12/4/20,7
17381,467,Fossil Creek Wild and Scenic River Comprehensive River Management Plan,EisDocuments-316127,Forest Service,Water Works,AZ,12/4/20,1
17302,1531,Regulations Governing Take of Migratory Birds,EisDocuments-314796,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,REG,11/27/20,1
17399,5000018,Final Programmatic EIS for Fuels Reduction and Rangeland Restoration in the Great Basin,EisDocuments-314593,Bureau of Land Management,Conservation/Restoration/ Bio. Resource use,CA;ID;NV;OR;UT;WA,11/27/20,2
17375,,The Management of Conflicts Associated with Double-crested Cormorants,EisDocuments-313501,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,REG,11/20/20,1
17261,1238,"Northern Corridor - Highway Right-of-way, Issuance of an Incidental Take Permit, Final EIS and Proposed Resource Management Plan Amendments",EisDocuments-313277,Bureau of Land Management,Conservation/Restoration/ Bio. Resource use,UT,11/13/20,2
17297,351,Deschutes Basin Habitat Conservation Plan,EisDocuments-312946,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,OR,11/6/20,2
17312,1345,Pike & San Isabel National Forests Motorized Travel Management (MVUM) Analysis,EisDocuments-312695,Forest Service,Recreation,CO,11/6/20,2
17377,419,Final Resource Management Plan Amendments/Environmental Impact Statement Wyoming Pipeline Corridor Initiative,EisDocuments-311081,Bureau of Land Management,Energy generation/transmission,WY,10/23/20,2
15297,2000794,Osage County Oil and Gas,EisDocuments-310398,Bureau of Indian Affairs,Mineral Resource Extraction,OK,10/16/20,1
15143,2000583,Lee Canyon EIS,EisDocuments-309225,Forest Service,Recreation,NV,10/9/20,2
15416,1597,Rulemaking for Alaska Roadless Areas,EisDocuments-306557,Forest Service,Land Management Plan,AK,9/25/20,5
15579,,WITHDRAWN - Fossil Creek Wild and Scenic River Comprehensive River Management Plan,EisDocuments-305682,Forest Service,Conservation/Restoration/ Bio. Resource use;Water Works,AZ,9/18/20,1
15127,2000570,Lake Okeechobee Watershed Restoration Project,EisDocuments-304885,U.S. Army Corps of Engineers,Conservation/Restoration/ Bio. Resource use,FL,8/28/20,5
